正常,"咋打咧（咋打猎）？"
正常,"1号猪场……是养猪的吗？"
正常,"老爷爷，我又来拿手指祸害人间啦！"
正常,"谁帮我设一下，我不知道现在的代码改啥样了，"
正常,"我想一下。"
正常,"哇嘎嘎嘎！"
正常,"耶！"
正常,"你那随意吧。（那你）"
正常,"你不要看我，我不知道！"
正常,"瓦塔西哇erodesu，找夜神月。"
正常,"不是，到底是干啥的啊，真的要一百句没关系的话吗！？"
正常,"有給……"
正常,"艹！艹！kz！"
正常,"啊？你要买猎场，什么猎场。"
正常,"什么意思？"
正常,"这薯片是给我吃的吗？"
正常,"（他们没跟我说还得接待人啊，求回复教程......）"
正常,"耶……"
正常,"干嘛！"
正常,"干嘛……"
正常,"为什么我凉气开了30度还这么热啊？"
正常,"怎么才第22句，求放过。"
我来啦,"我来啦！"
正常,"啥时候更的新！？我又跟不上了……"
正常,"哟西，小鬼子！哟西，小鬼子！"
正常,"哈哈！隔壁那个研究员华是不是又私吞了两坨屎！"
正常,"我说了我不懂啊！"
正常,"嗨给~"
正常,"主播救我……"
正常,"REVERSE！哇嘎嘎嘎你来看门！"
正常,"你的小哥，都是我的啦！"
正常,"若敢来犯，必叫你大饱而归！"
正常,"这不是站街！这至少是看门吧！"
正常,"我也不懂啊，听他们说有学分就来了……"
正常,"谁说我是人机了……"
正常,"XX杀……？不熟，真的不熟……"
正常,"虽然不知道里面是干什么的，但是看到那两个四星的绿毛就帮我抓两只吧。"
正常,"还要多久才能进入你的..……"
正常,"这样抗一天枪也好累啊……"
正常,"带了枪过来怎么只是看门儿啊？"
正常,"kz。"
正常,"站岗意外的轻松呢……虽然还是不知道里面是干什么的。"
正常,"饿了，上次铁锅炖大鹅剩了一半……"
正常,"旁边这几个小哥是干嘛的啊？"
正常,"求教程。"
正常,"我是谁，我在哪，我在做什么。"
正常,"清晨时，睁开眼，问自己几何。"
正常,"我看不懂，你去问隔壁黑市商人槽吧。"
正常,"啊~要变成化石了啊~~~"
正常,"电吹风，呼呼呼呼呼呼呼呼呼呼呼呼呼呼呼。"
正常,"你干嘛哈哈哎哟~~~"
正常,"欧耶~"
正常,"蹲门口蹲的脚酸了……谁来告诉我里面是干啥的啊？"
正常,"这么强？！"
正常,"这么弱？？？"
正常,"有点儿强。"
正常,"Hello大家好，欢迎来到L的小哥游戏时间，今天里面还是看不懂在干嘛。"
正常,"给。"
正常,"输入“是”有惊喜哦。"
正常,"[好！]"
正常,"不听不听，王八念经~"
正常,"他们说不懂也可以来的，我就来了。"
正常,"妈，你打吧。"
正常,"有点想在草原上开德克士。"
正常,"悄悄肘击一下隔壁的华，嘘！"
正常,"dark♂的要来了。"
正常,"温馨提示：粑粑小哥可以搓粑粑球玩哦！"
正常,"那咋了？"
正常,"今天就这些，就问你要不要吧！"
正常,"悄悄告诉你，其他几个NPC都打不过我哇嘎嘎嘎！"
正常,"谁敢舔？"
正常,"你老婆。"
正常,"你老公。"
正常,"好处说完了，那坏处呢？"
正常,"那一定是你抓小哥不够努力。[图片]"
正常,"人生就俩字儿：kz。"
正常,"呜呜呜……小哥……你一定要和你教培啊……[图片]"
正常,"老板让我加班设计台词，臣妾做不到啊！"
正常,"我这可以打猎，华那不可以，因此我一胜，华零胜，因此我两胜，华零胜，因此我三胜，华零胜，因此我完胜。[图片]"
正常,"我是不是人呐，我到底是不是人呐！"
正常,"我感觉身在庐中不知庐……"
正常,"/敬礼"
正常,"没事，我也不懂怎么搞，到时候复读别人就学会了。"
正常,"包的。"
正常,"好，安排！"
正常,"今天没吃药，哈哈骗你的！"
正常,"[不是我]"
正常,"救命啊！"
正常,"站街不接男女老少纯挡道挪一次20。"
正常,"都兄弟！"
正常,"可以开房我的收款码，纯讨饭，不做任何事。"
正常,"一整个醉倒在老公怀里。"
正常,"西子卡打！！！！！！！！！！！！"
正常,"哈哈，干看别人工作自己啥不干太爽了！"
正常,"怎么显示啊，这么长！"
正常,"主人，我永远跟你走！"
正常,"亚比，囧囧囧～"
正常,"好啦好啦……"
正常,"妈勒个臭鸡我来！"
正常,"有天晚上，我看见研究所的员工来这里倾倒……小哥？反正，我总感觉那个研究所不是好人，你也注意点哦！"
正常,"这个这个世界上，哪有那么多的坏人呐！！！！"
正常,"吸铁石。"
正常,"他们说的，我负责站着如喽罗。"
正常,"好，安排！"
正常,"小哥结婚 小奶龙 小槽"
